Order ID,Order Date,Ship Mode,Customer Name,Region,State,City,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit
1001,2024-01-01,First Class,Customer_1,East,New York,New York,Technology,Laptops,Laptop X,2,0.2,272.68,-3.85
1002,2024-01-02,First Class,Customer_2,South,Karnataka,Bengaluru,Technology,Laptops,Laptop X,4,0.2,437.97,70.38
1003,2024-01-03,Standard Class,Customer_3,South,Karnataka,Bengaluru,Office Supplies,Storage,Storage Box,7,0.1,1461.74,-69.76
1004,2024-01-04,Second Class,Customer_4,North,Delhi,New Delhi,Furniture,Chairs,Office Chair,5,0,189.62,-3.06
1005,2024-01-05,Second Class,Customer_5,South,Karnataka,Bengaluru,Technology,Accessories,Wireless Mouse,4,0,1497.19,249.26
1006,2024-01-06,Second Class,Customer_6,East,New York,New York,Technology,Laptops,Laptop X,6,0.05,1563.01,129.8
1007,2024-01-07,Standard Class,Customer_7,North,Punjab,Ludhiana,Office Supplies,Storage,Storage Box,3,0.2,1270.73,240.48
1008,2024-01-08,First Class,Customer_8,West,California,Los Angeles,Furniture,Bookcases,Wooden Bookcase,4,0.1,1781.4,309.96
1009,2024-01-09,First Class,Customer_9,East,New York,New York,Furniture,Furnishings,Desk Lamp,6,0.05,500.24,11.93
1010,2024-01-10,First Class,Customer_10,South,Tamil Nadu,Chennai,Technology,Accessories,Wireless Mouse,5,0.2,272.84,57.5
1011,2024-01-11,Standard Class,Customer_11,South,Tamil Nadu,Chennai,Technology,Laptops,Laptop X,2,0.05,929.41,-16.9
1012,2024-01-12,Second Class,Customer_12,West,Washington,Seattle,Furniture,Furnishings,Desk Lamp,1,0,1082.7,123.23
1013,2024-01-13,First Class,Customer_13,North,Punjab,Ludhiana,Furniture,Furnishings,Desk Lamp,5,0.2,305.73,-14.94
1014,2024-01-14,First Class,Customer_14,West,California,Los Angeles,Office Supplies,Binders,Binder Set,1,0.2,296.29,64.26
1015,2024-01-15,Second Class,Customer_15,North,Punjab,Ludhiana,Technology,Accessories,Wireless Mouse,4,0,1584.73,382.05
1016,2024-01-16,First Class,Customer_16,West,California,Los Angeles,Office Supplies,Labels,Label Roll,3,0.05,1473.44,430.68
1017,2024-01-17,First Class,Customer_17,South,Karnataka,Bengaluru,Office Supplies,Labels,Label Roll,4,0.1,1736.74,477.81
1018,2024-01-18,Second Class,Customer_18,South,Tamil Nadu,Chennai,Office Supplies,Labels,Label Roll,1,0.2,239.78,6.87
1019,2024-01-19,Second Class,Customer_19,West,California,Los Angeles,Technology,Phones,Smartphone A,2,0.2,431.37,115.13
1020,2024-01-20,First Class,Customer_20,West,Washington,Seattle,Technology,Laptops,Laptop X,8,0.05,1308.95,338.8
1021,2024-01-21,Second Class,Customer_21,South,Tamil Nadu,Chennai,Technology,Phones,Smartphone A,8,0,1194.69,88.41
1022,2024-01-22,Standard Class,Customer_22,East,New York,New York,Office Supplies,Storage,Storage Box,4,0.2,1446.05,-17.0
1023,2024-01-23,Standard Class,Customer_23,South,Karnataka,Bengaluru,Technology,Accessories,Wireless Mouse,8,0.2,846.16,216.68
1024,2024-01-24,Standard Class,Customer_24,East,New York,New York,Technology,Laptops,Laptop X,7,0,320.2,38.42
1025,2024-01-25,Second Class,Customer_25,West,Washington,Seattle,Furniture,Bookcases,Wooden Bookcase,7,0.2,1669.57,375.31
1026,2024-01-26,First Class,Customer_26,South,Karnataka,Bengaluru,Furniture,Tables,Study Table,1,0.1,1744.46,266.4
1027,2024-01-27,Standard Class,Customer_27,East,New York,New York,Office Supplies,Binders,Binder Set,2,0.2,125.96,16.09
1028,2024-01-28,Standard Class,Customer_28,East,New York,New York,Technology,Laptops,Laptop X,7,0.2,1052.58,-37.99
1029,2024-01-29,First Class,Customer_29,North,Punjab,Ludhiana,Office Supplies,Storage,Storage Box,5,0.15,448.67,39.72
1030,2024-01-30,Second Class,Customer_30,North,Delhi,New Delhi,Furniture,Chairs,Office Chair,3,0.1,155.04,3.81
1031,2024-01-31,Second Class,Customer_31,East,New York,New York,Furniture,Tables,Study Table,1,0.2,802.78,112.49
1032,2024-02-01,Standard Class,Customer_32,North,Delhi,New Delhi,Furniture,Chairs,Office Chair,5,0.1,1604.24,336.64
1033,2024-02-02,Standard Class,Customer_33,West,Washington,Seattle,Office Supplies,Storage,Storage Box,2,0.15,922.1,34.94
1034,2024-02-03,First Class,Customer_34,North,Delhi,New Delhi,Furniture,Tables,Study Table,8,0.2,1155.88,48.18
